,Indicator Name,Country Code,Country Name,Year,Value,Location,Area,Population
0,"Proportion of population using basic drinking water services, RURAL (%)",AGO,Angola,2010,24.87758,RURAL,Urbanism,31127674
1,"Proportion of population using basic drinking water services, URBAN (%)",AGO,Angola,2010,67.53061,URBAN,Urbanism,31127674
2,"Proportion of population using basic drinking water services, RURAL (%)",AGO,Angola,2011,25.24631,RURAL,Urbanism,31127674
3,"Proportion of population using basic drinking water services, URBAN (%)",AGO,Angola,2011,68.08355,URBAN,Urbanism,31127674
4,"Proportion of population using basic drinking water services, URBAN (%)",AGO,Angola,2012,68.62895999999999,URBAN,Urbanism,31127674
5,"Proportion of population using basic drinking water services, RURAL (%)",AGO,Angola,2012,25.61435,RURAL,Urbanism,31127674
6,"Proportion of population using basic drinking water services, RURAL (%)",AGO,Angola,2013,25.98171,RURAL,Urbanism,31127674
7,"Proportion of population using basic drinking water services, URBAN (%)",AGO,Angola,2013,69.16683,URBAN,Urbanism,31127674
8,"Proportion of population using basic drinking water services, RURAL (%)",AGO,Angola,2014,26.34838,RURAL,Urbanism,31127674
9,"Proportion of population using basic drinking water services, URBAN (%)",AGO,Angola,2014,69.69717,URBAN,Urbanism,31127674
10,"Proportion of population using basic drinking water services, RURAL (%)",AGO,Angola,2015,26.714370000000002,RURAL,Urbanism,31127674
11,"Proportion of population using basic drinking water services, URBAN (%)",AGO,Angola,2015,70.21996999999999,URBAN,Urbanism,31127674
12,"Proportion of population using basic drinking water services, RURAL (%)",AGO,Angola,2016,27.07967,RURAL,Urbanism,31127674
13,"Proportion of population using basic drinking water services, URBAN (%)",AGO,Angola,2016,70.73523,URBAN,Urbanism,31127674
14,"Proportion of population using basic drinking water services, RURAL (%)",AGO,Angola,2017,27.444290000000002,RURAL,Urbanism,31127674
15,"Proportion of population using basic drinking water services, URBAN (%)",AGO,Angola,2017,71.24296,URBAN,Urbanism,31127674
16,"Proportion of population using basic drinking water services, URBAN (%)",BRA,Brazil,2010,98.86169,URBAN,Urbanism,210147125
17,"Proportion of population using basic drinking water services, RURAL (%)",BRA,Brazil,2010,82.69553,RURAL,Urbanism,210147125
18,"Proportion of population using basic drinking water services, RURAL (%)",BRA,Brazil,2011,83.55739,RURAL,Urbanism,210147125
19,"Proportion of population using basic drinking water services, URBAN (%)",BRA,Brazil,2011,98.92891999999999,URBAN,Urbanism,210147125
20,"Proportion of population using basic drinking water services, RURAL (%)",BRA,Brazil,2012,84.41926,RURAL,Urbanism,210147125
21,"Proportion of population using basic drinking water services, URBAN (%)",BRA,Brazil,2012,98.99615,URBAN,Urbanism,210147125
22,"Proportion of population using basic drinking water services, URBAN (%)",BRA,Brazil,2013,99.06339,URBAN,Urbanism,210147125
23,"Proportion of population using basic drinking water services, RURAL (%)",BRA,Brazil,2013,85.28112,RURAL,Urbanism,210147125
24,"Proportion of population using basic drinking water services, RURAL (%)",BRA,Brazil,2014,86.14298000000001,RURAL,Urbanism,210147125
25,"Proportion of population using basic drinking water services, URBAN (%)",BRA,Brazil,2014,99.13062,URBAN,Urbanism,210147125
26,"Proportion of population using basic drinking water services, URBAN (%)",BRA,Brazil,2015,99.36473000000001,URBAN,Urbanism,210147125
27,"Proportion of population using basic drinking water services, RURAL (%)",BRA,Brazil,2015,87.00484,RURAL,Urbanism,210147125
28,"Proportion of population using basic drinking water services, RURAL (%)",BRA,Brazil,2016,87.8667,RURAL,Urbanism,210147125
29,"Proportion of population using basic drinking water services, URBAN (%)",BRA,Brazil,2016,99.46718,URBAN,Urbanism,210147125
30,"Proportion of population using basic drinking water services, RURAL (%)",BRA,Brazil,2017,89.73861,RURAL,Urbanism,210147125
31,"Proportion of population using basic drinking water services, URBAN (%)",BRA,Brazil,2017,99.53455,URBAN,Urbanism,210147125
32,"Proportion of population using basic drinking water services, URBAN (%)",CPV,Cabo Verde,2010,90.23661,URBAN,Urbanism,543767
33,"Proportion of population using basic drinking water services, RURAL (%)",CPV,Cabo Verde,2010,71.32164,RURAL,Urbanism,543767
34,"Proportion of population using basic drinking water services, RURAL (%)",CPV,Cabo Verde,2011,71.42251,RURAL,Urbanism,543767
35,"Proportion of population using basic drinking water services, URBAN (%)",CPV,Cabo Verde,2011,90.82055,URBAN,Urbanism,543767
36,"Proportion of population using basic drinking water services, URBAN (%)",CPV,Cabo Verde,2012,91.4045,URBAN,Urbanism,543767
37,"Proportion of population using basic drinking water services, RURAL (%)",CPV,Cabo Verde,2012,71.52338,RURAL,Urbanism,543767
38,"Proportion of population using basic drinking water services, RURAL (%)",CPV,Cabo Verde,2013,71.62425,RURAL,Urbanism,543767
39,"Proportion of population using basic drinking water services, URBAN (%)",CPV,Cabo Verde,2013,91.98844,URBAN,Urbanism,543767
40,"Proportion of population using basic drinking water services, RURAL (%)",CPV,Cabo Verde,2014,71.72511,RURAL,Urbanism,543767
41,"Proportion of population using basic drinking water services, URBAN (%)",CPV,Cabo Verde,2014,92.57238000000001,URBAN,Urbanism,543767
42,"Proportion of population using basic drinking water services, RURAL (%)",CPV,Cabo Verde,2015,72.8726,RURAL,Urbanism,543767
43,"Proportion of population using basic drinking water services, URBAN (%)",CPV,Cabo Verde,2015,93.1,URBAN,Urbanism,543767
44,"Proportion of population using basic drinking water services, RURAL (%)",CPV,Cabo Verde,2016,74.32441,RURAL,Urbanism,543767
45,"Proportion of population using basic drinking water services, URBAN (%)",CPV,Cabo Verde,2016,93.1,URBAN,Urbanism,543767
46,"Proportion of population using basic drinking water services, RURAL (%)",CPV,Cabo Verde,2017,75.78001,RURAL,Urbanism,543767
47,"Proportion of population using basic drinking water services, URBAN (%)",CPV,Cabo Verde,2017,93.1,URBAN,Urbanism,543767
48,"Proportion of population using basic drinking water services, RURAL (%)",GIN,Guinea,2010,51.6669,RURAL,Urbanism,1308975
49,"Proportion of population using basic drinking water services, URBAN (%)",GIN,Guinea,2010,85.31358,URBAN,Urbanism,1308975
50,"Proportion of population using basic drinking water services, RURAL (%)",GIN,Guinea,2011,51.34382,RURAL,Urbanism,1308975
51,"Proportion of population using basic drinking water services, URBAN (%)",GIN,Guinea,2011,85.37017,URBAN,Urbanism,1308975
52,"Proportion of population using basic drinking water services, RURAL (%)",GIN,Guinea,2012,50.988,RURAL,Urbanism,1308975
53,"Proportion of population using basic drinking water services, URBAN (%)",GIN,Guinea,2012,85.41883,URBAN,Urbanism,1308975
54,"Proportion of population using basic drinking water services, RURAL (%)",GIN,Guinea,2013,50.59943,RURAL,Urbanism,1308975
55,"Proportion of population using basic drinking water services, URBAN (%)",GIN,Guinea,2013,85.45956,URBAN,Urbanism,1308975
56,"Proportion of population using basic drinking water services, RURAL (%)",GIN,Guinea,2014,50.178129999999996,RURAL,Urbanism,1308975
57,"Proportion of population using basic drinking water services, URBAN (%)",GIN,Guinea,2014,85.49237,URBAN,Urbanism,1308975
58,"Proportion of population using basic drinking water services, RURAL (%)",GIN,Guinea,2015,49.724090000000004,RURAL,Urbanism,1308975
59,"Proportion of population using basic drinking water services, URBAN (%)",GIN,Guinea,2015,85.51726,URBAN,Urbanism,1308975
60,"Proportion of population using basic drinking water services, RURAL (%)",GIN,Guinea,2016,49.23731,RURAL,Urbanism,1308975
61,"Proportion of population using basic drinking water services, URBAN (%)",GIN,Guinea,2016,85.53421999999999,URBAN,Urbanism,1308975
62,"Proportion of population using basic drinking water services, RURAL (%)",GIN,Guinea,2017,48.71778,RURAL,Urbanism,1308975
63,"Proportion of population using basic drinking water services, URBAN (%)",GIN,Guinea,2017,85.54325,URBAN,Urbanism,1308975
64,"Proportion of population using basic drinking water services, URBAN (%)",MOZ,Mozambique,2010,72.91825,URBAN,Urbanism,30066648
65,"Proportion of population using basic drinking water services, RURAL (%)",MOZ,Mozambique,2010,24.7189,RURAL,Urbanism,30066648
66,"Proportion of population using basic drinking water services, RURAL (%)",MOZ,Mozambique,2011,26.856090000000002,RURAL,Urbanism,30066648
67,"Proportion of population using basic drinking water services, URBAN (%)",MOZ,Mozambique,2011,74.5423,URBAN,Urbanism,30066648
68,"Proportion of population using basic drinking water services, URBAN (%)",MOZ,Mozambique,2012,76.16920999999999,URBAN,Urbanism,30066648
69,"Proportion of population using basic drinking water services, RURAL (%)",MOZ,Mozambique,2012,29.00641,RURAL,Urbanism,30066648
70,"Proportion of population using basic drinking water services, URBAN (%)",MOZ,Mozambique,2013,77.79895,URBAN,Urbanism,30066648
71,"Proportion of population using basic drinking water services, RURAL (%)",MOZ,Mozambique,2013,31.16987,RURAL,Urbanism,30066648
72,"Proportion of population using basic drinking water services, RURAL (%)",MOZ,Mozambique,2014,33.34646,RURAL,Urbanism,30066648
73,"Proportion of population using basic drinking water services, URBAN (%)",MOZ,Mozambique,2014,79.43155,URBAN,Urbanism,30066648
74,"Proportion of population using basic drinking water services, URBAN (%)",MOZ,Mozambique,2015,81.06699,URBAN,Urbanism,30066648
75,"Proportion of population using basic drinking water services, RURAL (%)",MOZ,Mozambique,2015,35.53617,RURAL,Urbanism,30066648
76,"Proportion of population using basic drinking water services, RURAL (%)",MOZ,Mozambique,2016,37.739020000000004,RURAL,Urbanism,30066648
77,"Proportion of population using basic drinking water services, URBAN (%)",MOZ,Mozambique,2016,82.70528,URBAN,Urbanism,30066648
78,"Proportion of population using basic drinking water services, RURAL (%)",MOZ,Mozambique,2017,39.955,RURAL,Urbanism,30066648
79,"Proportion of population using basic drinking water services, URBAN (%)",MOZ,Mozambique,2017,84.34640999999999,URBAN,Urbanism,30066648
80,"Proportion of population using basic drinking water services, RURAL (%)",PRT,Portugal,2010,99.38383,RURAL,Urbanism,10295909
81,"Proportion of population using basic drinking water services, URBAN (%)",PRT,Portugal,2010,99.70589,URBAN,Urbanism,10295909
82,"Proportion of population using basic drinking water services, URBAN (%)",PRT,Portugal,2011,99.81828,URBAN,Urbanism,10295909
83,"Proportion of population using basic drinking water services, RURAL (%)",PRT,Portugal,2011,99.47256999999999,RURAL,Urbanism,10295909
84,"Proportion of population using basic drinking water services, RURAL (%)",PRT,Portugal,2012,99.5613,RURAL,Urbanism,10295909
85,"Proportion of population using basic drinking water services, URBAN (%)",PRT,Portugal,2012,99.93066,URBAN,Urbanism,10295909
86,"Proportion of population using basic drinking water services, RURAL (%)",PRT,Portugal,2013,99.65004,RURAL,Urbanism,10295909
87,"Proportion of population using basic drinking water services, URBAN (%)",PRT,Portugal,2013,100.0,URBAN,Urbanism,10295909
88,"Proportion of population using basic drinking water services, RURAL (%)",PRT,Portugal,2014,99.73878,RURAL,Urbanism,10295909
89,"Proportion of population using basic drinking water services, URBAN (%)",PRT,Portugal,2014,100.0,URBAN,Urbanism,10295909
90,"Proportion of population using basic drinking water services, RURAL (%)",PRT,Portugal,2015,99.73878,RURAL,Urbanism,10295909
91,"Proportion of population using basic drinking water services, URBAN (%)",PRT,Portugal,2015,100.0,URBAN,Urbanism,10295909
92,"Proportion of population using basic drinking water services, RURAL (%)",PRT,Portugal,2016,99.73878,RURAL,Urbanism,10295909
93,"Proportion of population using basic drinking water services, URBAN (%)",PRT,Portugal,2016,100.0,URBAN,Urbanism,10295909
94,"Proportion of population using basic drinking water services, RURAL (%)",PRT,Portugal,2017,99.73878,RURAL,Urbanism,10295909
95,"Proportion of population using basic drinking water services, URBAN (%)",PRT,Portugal,2017,100.0,URBAN,Urbanism,10295909
96,"Proportion of population using basic drinking water services, RURAL (%)",GNB,Guinea-Bissau,2010,49.07339,RURAL,Urbanism,1874303
97,"Proportion of population using basic drinking water services, URBAN (%)",GNB,Guinea-Bissau,2010,80.57089,URBAN,Urbanism,1874303
98,"Proportion of population using basic drinking water services, RURAL (%)",GNB,Guinea-Bissau,2011,49.81797,RURAL,Urbanism,1874303
99,"Proportion of population using basic drinking water services, URBAN (%)",GNB,Guinea-Bissau,2011,81.16825,URBAN,Urbanism,1874303
100,"Proportion of population using basic drinking water services, RURAL (%)",GNB,Guinea-Bissau,2012,50.5586,RURAL,Urbanism,1874303
101,"Proportion of population using basic drinking water services, URBAN (%)",GNB,Guinea-Bissau,2012,81.76250999999999,URBAN,Urbanism,1874303
102,"Proportion of population using basic drinking water services, RURAL (%)",GNB,Guinea-Bissau,2013,51.29528,RURAL,Urbanism,1874303
103,"Proportion of population using basic drinking water services, URBAN (%)",GNB,Guinea-Bissau,2013,82.35369,URBAN,Urbanism,1874303
104,"Proportion of population using basic drinking water services, URBAN (%)",GNB,Guinea-Bissau,2014,82.94176,URBAN,Urbanism,1874303
105,"Proportion of population using basic drinking water services, RURAL (%)",GNB,Guinea-Bissau,2014,52.02802,RURAL,Urbanism,1874303
106,"Proportion of population using basic drinking water services, RURAL (%)",GNB,Guinea-Bissau,2015,52.756809999999994,RURAL,Urbanism,1874303
107,"Proportion of population using basic drinking water services, URBAN (%)",GNB,Guinea-Bissau,2015,83.52675,URBAN,Urbanism,1874303
108,"Proportion of population using basic drinking water services, URBAN (%)",GNB,Guinea-Bissau,2016,84.10864000000001,URBAN,Urbanism,1874303
109,"Proportion of population using basic drinking water services, RURAL (%)",GNB,Guinea-Bissau,2016,53.48166,RURAL,Urbanism,1874303
110,"Proportion of population using basic drinking water services, RURAL (%)",GNB,Guinea-Bissau,2017,53.48166,RURAL,Urbanism,1874303
111,"Proportion of population using basic drinking water services, URBAN (%)",GNB,Guinea-Bissau,2017,84.10864000000001,URBAN,Urbanism,1874303
112,"Proportion of population using basic drinking water services, RURAL (%)",TLS,Timor-Leste,2010,54.949980000000004,RURAL,Urbanism,1300000
113,"Proportion of population using basic drinking water services, URBAN (%)",TLS,Timor-Leste,2010,87.03754,URBAN,Urbanism,1300000
114,"Proportion of population using basic drinking water services, URBAN (%)",TLS,Timor-Leste,2011,88.93258,URBAN,Urbanism,1300000
115,"Proportion of population using basic drinking water services, RURAL (%)",TLS,Timor-Leste,2011,56.95921,RURAL,Urbanism,1300000
116,"Proportion of population using basic drinking water services, RURAL (%)",TLS,Timor-Leste,2012,59.00082,RURAL,Urbanism,1300000
117,"Proportion of population using basic drinking water services, URBAN (%)",TLS,Timor-Leste,2012,90.83194,URBAN,Urbanism,1300000
118,"Proportion of population using basic drinking water services, RURAL (%)",TLS,Timor-Leste,2013,61.074780000000004,RURAL,Urbanism,1300000
119,"Proportion of population using basic drinking water services, URBAN (%)",TLS,Timor-Leste,2013,92.73561,URBAN,Urbanism,1300000
120,"Proportion of population using basic drinking water services, RURAL (%)",TLS,Timor-Leste,2014,63.18111999999999,RURAL,Urbanism,1300000
121,"Proportion of population using basic drinking water services, URBAN (%)",TLS,Timor-Leste,2014,94.64361,URBAN,Urbanism,1300000
122,"Proportion of population using basic drinking water services, RURAL (%)",TLS,Timor-Leste,2015,65.31981,RURAL,Urbanism,1300000
123,"Proportion of population using basic drinking water services, URBAN (%)",TLS,Timor-Leste,2015,96.55591,URBAN,Urbanism,1300000
124,"Proportion of population using basic drinking water services, URBAN (%)",TLS,Timor-Leste,2016,98.20617,URBAN,Urbanism,1300000
125,"Proportion of population using basic drinking water services, RURAL (%)",TLS,Timor-Leste,2016,67.49088,RURAL,Urbanism,1300000
126,"Proportion of population using basic drinking water services, RURAL (%)",TLS,Timor-Leste,2017,69.6943,RURAL,Urbanism,1300000
127,"Proportion of population using basic drinking water services, URBAN (%)",TLS,Timor-Leste,2017,98.32386,URBAN,Urbanism,1300000
128,"Proportion of population using basic drinking water services, RURAL (%)",STP,Sao Tome and Principe,2010,69.68157,RURAL,Urbanism,211028
129,"Proportion of population using basic drinking water services, URBAN (%)",STP,Sao Tome and Principe,2010,81.25939,URBAN,Urbanism,211028
130,"Proportion of population using basic drinking water services, RURAL (%)",STP,Sao Tome and Principe,2011,70.87384,RURAL,Urbanism,211028
131,"Proportion of population using basic drinking water services, URBAN (%)",STP,Sao Tome and Principe,2011,82.34578,URBAN,Urbanism,211028
132,"Proportion of population using basic drinking water services, RURAL (%)",STP,Sao Tome and Principe,2012,72.07395,RURAL,Urbanism,211028
133,"Proportion of population using basic drinking water services, URBAN (%)",STP,Sao Tome and Principe,2012,83.43845999999999,URBAN,Urbanism,211028
134,"Proportion of population using basic drinking water services, RURAL (%)",STP,Sao Tome and Principe,2013,73.28189,RURAL,Urbanism,211028
135,"Proportion of population using basic drinking water services, URBAN (%)",STP,Sao Tome and Principe,2013,84.53741,URBAN,Urbanism,211028
136,"Proportion of population using basic drinking water services, RURAL (%)",STP,Sao Tome and Principe,2014,74.49766,RURAL,Urbanism,211028
137,"Proportion of population using basic drinking water services, URBAN (%)",STP,Sao Tome and Principe,2014,85.64264,URBAN,Urbanism,211028
138,"Proportion of population using basic drinking water services, RURAL (%)",STP,Sao Tome and Principe,2015,75.72126,RURAL,Urbanism,211028
139,"Proportion of population using basic drinking water services, URBAN (%)",STP,Sao Tome and Principe,2015,86.75415,URBAN,Urbanism,211028
140,"Proportion of population using basic drinking water services, URBAN (%)",STP,Sao Tome and Principe,2016,87.14815,URBAN,Urbanism,211028
141,"Proportion of population using basic drinking water services, RURAL (%)",STP,Sao Tome and Principe,2016,76.95269,RURAL,Urbanism,211028
142,"Proportion of population using basic drinking water services, RURAL (%)",STP,Sao Tome and Principe,2017,76.95269,RURAL,Urbanism,211028
143,"Proportion of population using basic drinking water services, URBAN (%)",STP,Sao Tome and Principe,2017,87.14815,URBAN,Urbanism,211028
144,"Proportion of population using basic sanitation services, RURAL (%)",AGO,Angola,2010,16.76734,RURAL,Urbanism,31127674
145,"Proportion of population using basic sanitation services, URBAN (%)",AGO,Angola,2010,57.40339,URBAN,Urbanism,31127674
146,"Proportion of population using basic sanitation services, RURAL (%)",AGO,Angola,2011,17.69098,RURAL,Urbanism,31127674
147,"Proportion of population using basic sanitation services, URBAN (%)",AGO,Angola,2011,58.39229,URBAN,Urbanism,31127674
148,"Proportion of population using basic sanitation services, RURAL (%)",AGO,Angola,2012,18.61461,RURAL,Urbanism,31127674
149,"Proportion of population using basic sanitation services, URBAN (%)",AGO,Angola,2012,59.38118000000001,URBAN,Urbanism,31127674
150,"Proportion of population using basic sanitation services, RURAL (%)",AGO,Angola,2013,19.53824,RURAL,Urbanism,31127674
151,"Proportion of population using basic sanitation services, URBAN (%)",AGO,Angola,2013,60.37007,URBAN,Urbanism,31127674
152,"Proportion of population using basic sanitation services, RURAL (%)",AGO,Angola,2014,20.46187,RURAL,Urbanism,31127674
153,"Proportion of population using basic sanitation services, URBAN (%)",AGO,Angola,2014,61.35896999999999,URBAN,Urbanism,31127674
154,"Proportion of population using basic sanitation services, URBAN (%)",AGO,Angola,2015,62.34786,URBAN,Urbanism,31127674
155,"Proportion of population using basic sanitation services, RURAL (%)",AGO,Angola,2015,21.3855,RURAL,Urbanism,31127674
156,"Proportion of population using basic sanitation services, URBAN (%)",AGO,Angola,2016,63.33676,URBAN,Urbanism,31127674
157,"Proportion of population using basic sanitation services, RURAL (%)",AGO,Angola,2016,22.30914,RURAL,Urbanism,31127674
158,"Proportion of population using basic sanitation services, RURAL (%)",AGO,Angola,2017,23.232770000000002,RURAL,Urbanism,31127674
